Date,Close_AAPL,Close_AMZN,Close_GOOGL,Close_MSFT,Close_NVDA,High_AAPL,High_AMZN,High_GOOGL,High_MSFT,High_NVDA,Low_AAPL,Low_AMZN,Low_GOOGL,Low_MSFT,Low_NVDA,Open_AAPL,Open_AMZN,Open_GOOGL,Open_MSFT,Open_NVDA,Volume_AAPL,Volume_AMZN,Volume_GOOGL,Volume_MSFT,Volume_NVDA
2020-07-28,90.76675415039062,150.01649475097656,74.82476806640625,193.90782165527344,10.182645797729492,92.02966845109545,153.85450744628906,75.93744461336621,196.4801983052212,10.3486104081578,90.76188267824884,149.78799438476562,74.6690109658058,193.63906632307197,10.17641646872557,91.85203051648676,152.7135009765625,75.88718593599701,195.43397114443204,10.34088577402292,103625600,62534000,30910000,23251400,271636000
2020-07-29,92.50660705566406,151.67649841308594,75.81303405761719,195.8658905029297,10.431842803955078,92.69154477680748,151.95799255371094,76.30169506581362,196.4321953127748,10.482429371286324,91.21449359583792,149.8385009765625,74.79290978342082,193.8982061058397,10.3137241436091,91.250992507636,151.54949951171875,74.89193888511915,194.3685352414771,10.357333253377416,90329200,59482000,22676000,19632600,284508000
2020-07-30,93.6259307861328,152.593994140625,76.55250549316406,195.71229553222656,10.57986545562744,93.730563449298,154.60000610351562,76.67790540720966,196.24982077645535,10.588836336512388,91.2680051315171,150.25,74.40277966422465,191.5561815692608,10.262140182585282,91.67680769413197,150.6999969482422,74.5421129020531,192.92875222913776,10.341633765622548,158130000,122566000,36042000,25079600,308880000
2020-07-31,103.42750549316406,158.23399353027344,74.04349517822266,196.7777404785156,10.580610275268556,103.57837258120163,162.34100341796875,74.89293435330026,196.86413762541625,10.731872772894086,98.1373773392482,157.5500030517578,72.3540702273074,191.01867275251885,10.399444531154126,100.14247044684524,162.1999969482422,74.49633198454498,196.1922346738633,10.529275592466844,374336800,161710000,91468000,51044000,386080000
2020-08-03,106.0336456298828,155.59449768066406,73.78523254394531,207.8447265625,10.97484016418457,108.66167105374215,159.1999969482422,74.530168009216,208.90056139620748,11.063055563257992,105.01650308916156,155.1999969482422,73.2358571600964,201.98968375994195,10.680788833939834,105.31580157029778,159.02549743652344,74.1952746917589,203.02631760229156,10.697983417269828,308151200,101494000,45482000,78983000,412720000
2020-08-04,106.74173736572266,156.94149780273438,73.31449127197266,204.7252349853516,11.191638946533203,107.8367490242639,158.36199951171875,74.3002797145422,206.14581544620071,11.191638946533203,105.49828693193604,155.0605010986328,72.85319570585015,201.8649023641332,10.870924076098587,106.22343065918278,155.0605010986328,73.98180262852239,205.5699028652008,11.014460994108523,173071600,93886000,37212000,49280100,310336000
2020-08-05,107.1286392211914,160.25149536132812,73.60261535644531,204.38931274414065,11.25045108795166,107.44984441915976,160.67950439453125,74.14552151348077,206.3665902891216,11.335177761725884,105.99469293819868,156.36500549316406,73.21098639334856,203.07433032066743,11.130339009824512,106.4619011739729,157.18850708007812,73.48966050340952,206.27059997009545,11.20783916726812,121776800,78330000,29134000,28806400,249924000
2020-08-06,110.86628723144533,161.25,74.88945007324219,207.66233825683597,11.299041748046877,111.36269464253704,162.37350463867188,74.9551379108816,207.6815245993432,11.321469420020732,106.87071514088169,158.27149963378906,73.24481674977106,203.055082286198,11.142796171972975,107.46201970975672,159.71800231933594,73.45630713721422,203.81335290499825,11.313245718488677,202428800,78812000,33306000,32656800,244316000
2020-08-07,108.34566497802734,158.3730010986328,74.56202697753906,203.9477996826172,11.163481712341309,110.84435557432208,162.04049682617188,75.64285813461413,207.0385008175129,11.4677501744075,107.54608428478956,157.0334930419922,73.95990233635366,202.46003745434277,11.002003012203462,110.38605796245164,161.20050048828125,75.09298915592936,206.22264160244288,11.276118212824818,198045600,78722000,27718000,27820400,342516000
2020-08-10,109.92044830322266,157.4080047607422,74.4848861694336,199.8876190185547,11.1290922164917,110.94186486752692,158.62550354003906,74.99892327445139,203.371859273302,11.371559793938696,107.26086549559103,155.0760040283203,73.5229781582979,198.0639203097045,10.821584094052726,109.79612082851324,158.5155029296875,74.18531593243594,203.17028548212397,11.29779837844458,212403600,63346000,20546000,36716500,427796000
